Name;key
Grandezas de funcionamento de máquinas hidráulicas;funcionamento
Equação fundamental;equacao
Semelhança e Coeficientes Adimensionais para máquinas hidráulicas;semelhanca
Cavitação;cavitacao
Bombas hidráulicas de fluxo;bombas
Ventiladores;ventiladores
Ensaios e curvas características de turbinas hidráulicas;turbinas
Análise de máquinas geradoras em série e paralelo;geradoras
Turbinas eólicas;eolicas
Modelagem matemática de máquinas hidráulicas;modeagem
Análise termoeconômica de usinas hidroelétricas;hidroeletricas
Análise termoeconômica de usinas termoelétricas;termoeletricas
Análise termoeconômica da geração eólica e solar;solar
